,Hotel Name,Final Price,Ratings,Ratings Count,Ratings Summary,Wizard Member,Original Price,Location,City
413,OYO Hotel J Joy Near Gurudwara Shri Bangla Sahib,947,3.6,1457,Good,NON WIZARD MEMBER,3208,"MAIN FAIZ ROAD (Above SBI BANK), KAROL BAGH",Delhi
414,OYO Flagship 809087 Hotel Diamond Tree,564,2.3,24,Fair,NON WIZARD MEMBER,1789,"New Delhi, Delhi",Delhi
415,SPOT ON 61091 Hotel Silver Palace Dx,1106,4.5,3945,Excellent,WIZARD MEMBER,3161,"Near RK ASHRAM METRO STATION, Pahar Ganj, Delhi",Delhi
416,Flagship Sr Residency Near CCD,560,3.6,130,Good,NON WIZARD MEMBER,2353,"Block B, Delhi",Delhi
417,OYO 70893 Kl Khari Inn,730,3.9,1311,Good,WIZARD MEMBER,2426,"Near Ashok Park Main, Rampura Marg, Delhi",Delhi
418,OYO Flagship 77798 Hotel Sai Guest House,750,3.0,2,Fair,WIZARD MEMBER,2142,"Azadpur, Delhi",Delhi
419,Flagship King Stay Near Tdi Mall,649,3.4,264,Fair,WIZARD MEMBER,3040,"Block N, Delhi",Delhi
420,OYO Hotel J P Inn Near Satyam Inox Patel Nagar,1606,4.1,1143,Very Good,NON WIZARD MEMBER,4589,"Near Patel Nagar Metro, Block 1, Delhi",Delhi
421,OYO Flagship 808550 Kashish Residency,925,1.8,62,Fair,NON WIZARD MEMBER,2644,"single storey, Delhi",Delhi
422,OYO SP Rooms Near Jahangirpuri Metro Station,863,3.9,27,Good,WIZARD MEMBER,2241,"H-21 Mahendra Park, Delhi",Delhi
423,Collection O Model Town Metro View Near Model Town Metro Station,1809,4.1,1254,Very Good,NON WIZARD MEMBER,5169,"Near Model Town Metro Station, Delhi",Delhi
424,Collection O Radisson Blue Hotel Nearby Khajuri chowk-Signature Bridge,1095,3.4,142,Fair,NON WIZARD MEMBER,3128,"Bhajanpura, Delhi",Delhi
425,OYO Hotel Landmark Inn Near Gurudwara Shri Bangla Sahib,1686,4.6,4346,Excellent,NON WIZARD MEMBER,4818,Near Karol Bagh Metro Station,Delhi
426,OYO Townhouse 816 The White Grace Near Azadpur Metro Station,949,2.5,44,Fair,WIZARD MEMBER,3922,building no 902/290  Gali no 3 industrial area  Shalimar village  Pin code delhi 110088,Delhi
427,OYO Flagship Kashvi Palace Near Red Fort,899,3.1,86,Fair,NON WIZARD MEMBER,2568,"1 St Pusta Near Walia Public Shool Usmaanpur, Delhi",Delhi
428,OYO New Tech India Near Gurudwara Shri Bangla Sahib,854,2.6,526,Fair,WIZARD MEMBER,2809,"Near Jhandewalan, Nai Walan, Delhi",Delhi
429,Flagship Good Will Near Haiderpur Metro Station,626,3.7,14,Good,WIZARD MEMBER,2142,"Gobind Mohalla, Delhi",Delhi
430,OYO Townhouse 118 Gagan Vihar Near V3S Mall,1076,2.6,3710,Fair,WIZARD MEMBER,4198,"Near rg stone hospital , Hargobind Enclave, Delhi",Delhi
431,OYO 703421 Lakshya Oyo,549,4.3,33,Very Good,NON WIZARD MEMBER,2254,"mandoli delhi, Delhi",Delhi
432,OYO Hotel Sun City Near Gurudwara Shri Bangla Sahib,1337,3.2,866,Fair,WIZARD MEMBER,3819,"Near Karol Bagh, Channa Market, Delhi",Delhi
433,OYO Flagship 810642 Hotel KD Homes,571,3.7952136752136747,1015,Very Good,NON WIZARD MEMBER,1812,"wazirabad near book shop opposite mohalla clinic Delhi, Delhi",Delhi
434,OYO Flagship 81012 S P Rooms,678,3.7952136752136747,1015,Very Good,NON WIZARD MEMBER,2151,"Mahendra Park, Delhi",Delhi
435,OYO Flagship 810341 Hotel Royal Plaza,863,3.7952136752136747,1015,Very Good,NON WIZARD MEMBER,2738,"wz 523/1 bali nagar extension, Delhi",Delhi
436,Flagship Santosh Residency Near V3s Mall,1186,4.1,296,Very Good,NON WIZARD MEMBER,3389,"Vishwas Nagar, Delhi",Delhi
437,OYO Townhouse 511 Prakash continental Near Netaji Subhash Place Metro Station,2173,3.6,1331,Good,NON WIZARD MEMBER,6897,"Netaji Subash Palace, Delhi",Delhi
438,OYO Townhouse 381 Dilshad Garden Near Dilshad Garden Metro Station,1649,3.6,2915,Good,WIZARD MEMBER,4712,"Pocket E, Delhi",Delhi
